REPORT_NO,STATION_NO,STATION_TYPE,WORK_ORDER_NO,CONTRACT,TITLE,AUTHOR,REPORT_TYPE,CLASSIFICATION
36225,"01273/S01",DH,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/S03",DH,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/S04",DH,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/S07",DH,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"V15A",VC,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"V15B",VC,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"V16",VC,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"V17",VC,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
35368,"01273/S71",DH,GE/2001/29.10A,GE/2001/29,"South East Kowloon Development Kai Tai Approach Channel Reclamation Marine Ground Investigation - Stage 1","Bachy Soletanche Group",GI,GOVERNMENT
36225,"01273/C05",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C06",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C07",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C08",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C10",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L72",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L75",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L77",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L78",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L79",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L81",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L83",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L59",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L60",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L63",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L64",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L66",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L68",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L69",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L70",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C14",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C15",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C16",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C17",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C18",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C26A",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C27",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C29",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C30",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C32",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C33",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C35",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C35A",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C36",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/S14",DH,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C18A",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C19",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C20",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C21",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
